index,Date,Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal,Time,href formula,ISO_code
13,2021-07-30 00:00:00,2021,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Fishing,M,47,N,11:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.30-Fisherman.pdf,US
14,2021-07-27 00:00:00,2021,Unprovoked,USA,North Carolina,Wrightsville Beach,Other,M,15,N,13:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.27.c-Nelrazov.pdf,US
15,2021-07-27 00:00:00,2021,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing and Other Board Sports,M,58,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.27.b-Atsushi.pdf,US
16,2021-07-27 00:00:00,2021,Provoked,AUSTRALIA,Western Australia,Varanus Island,Fishing,M,34,N,20:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.27.a-Australia.pdf,AU
17,2021-07-26 00:00:00,2021,Unprovoked,USA,New York,"Jones Beach, Nassau County",Swimming,M,0,N,11:00:00,"http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.26-JonesBeach, pdf",US
18,2021-07-25 00:00:00,2021,Unprovoked,BRAZIL,Pernambuco,Piedade,Other,M,32,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.25-Brazil.pdf,BR
19,2021-07-23 00:00:00,2021,Provoked,THAILAND,Chanthaburi Province,Kung Krabaenbay Royal Département Study Center ,Other,M,55,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.23-Singhasura.pdf,TH
20,2021-07-23 00:00:00,2021,Unprovoked,USA,California,"Capitola Beach, Santa Cruz County",Surfing and Other Board Sports,F,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.21.b-Romney.pdf,US
21,2021-07-21 00:00:00,2021,,USA,Florida,"Near Patrick AFB, Brevard County",Other,F,35,N,12:23:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.21-Wood.pdf,US
22,2021-07-19 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Rottnest Island,Surfing and Other Board Sports,M,0,N,12:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.19-Rottnest.pdf,AU
23,2021-07-15 00:00:00,2021,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing and Other Board Sports,M,11,N,16:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.15-NSB.pdf,US
24,2021-07-14 00:00:00,2021,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing and Other Board Sports,M,38,N,07:07:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.14-bay.pdf,ZA
25,2021-07-11 00:00:00,2021,Provoked,BAHAMAS,,,Other,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.11.R-McInerney.pdf,BS
26,2021-07-10 00:00:00,2021,Unprovoked,USA,Florida,"Bathtub Beach, Martin County",Other,F,9,N,16:39:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.10.c-Lobb-Smith.pdf,US
27,2021-07-10 00:00:00,2021,Unprovoked,USA,Florida,"46 miles off Mayport, Duval County",Fishing,M,36,Y,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.10.b-Obi.pdf,US
28,2021-07-10 00:00:00,2021,Unprovoked,BRAZIL,Pernambuco,Piedade,Wading,M,51,Y,13:50:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.10-Santos.pdf,BR
29,2021-07-05 00:00:00,2021,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing and Other Board Sports,M,25,N,16:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.05-Hoffman.pdf,AU
30,2021-07-04 00:00:00,2021,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Other,M,8,N,16:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.04-PonceInlet.pdf,US
31,2021-07-04 00:00:00,2021,Provoked,USA,BAHAMAS,,Fishing,F,19,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.04-Scroggie.pdf,US
32,2021-07-03 00:00:00,2021,Unprovoked,ECUADOR,Galapagos,,Diving,M,31,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.07.03-Urvois.pdf,EC
33,2021-06-30 00:00:00,2021,Unprovoked,USA,California,"Catalina Island, Orange County",Kayaking or Canoeing,M,15,N,07:15:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.30-Cahill.pdf,US
34,2021-06-28 00:00:00,2021,Unprovoked,USA,Florida,"Block Houe Beach, Brevard County",Surfing and Other Board Sports,F,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.28-Lowrey.pdf,US
35,2021-06-27 00:00:00,2021,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Swimming,F,7,N,11:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.27-NC.pdf,US
36,2021-06-26 00:00:00,2021,Unprovoked,USA,California,"Gray Whale Beach Cove State Beach, San Mateo County",Swimming,M,38,N,09:15:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.26-Spasojevic.pdf,US
37,2021-06-25 00:00:00,2021,Unprovoked,JORDAN,Aqaba,,Other,M,36,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.25-Aqaba.pdf,JO
38,2021-06-23 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Gum Tree Bay,Surfing and Other Board Sports,M,25,N,14:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.23-Dodds.pdf,AU
39,2021-06-18 00:00:00,2021,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Other,M,12,N,15:57:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.18-Bethune.pdf,US
40,2021-06-17 00:00:00,2021,Unprovoked,USA,Florida,"Grayton Beach State Park,   Walton County",Swimming,M,14,N,14:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.17-Grayton.pdf,US
41,2021-06-14 00:00:00,2021,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Other,M,12,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.14.b-Villamilis.pdf,US
42,2021-06-14 00:00:00,2021,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Other,M,71,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.14.a-NSB.pdf,US
43,2021-06-12 00:00:00,2021,Provoked,ENGLAND,West Sussex,Littlehampton,Fishing,M,51,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.12-Butler.pdf,GB
44,2021-06-11 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Five Fingers Reef,Snorkeling,M,10,N,11:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.06.11-Bartlett.pdf,AU
45,2021-05-25 00:00:00,2021,Provoked,NEW CALEDONIA,Nouville,CHS Beach,Fishing,M,0,Y,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.25-NewCaledonia.pdf,NC
46,2021-05-23 00:00:00,2021,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,M,26,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.23-Bowman.pdf,US
47,2021-05-21 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Quondong Beach,Fishing,M,48,N,11:20:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.21-Highlands.pdf,AU
48,2021-05-18 00:00:00,2021,Unprovoked,AUSTRALIA,New South Wales,Turncurry Beach,Surfing and Other Board Sports,M,59,Y,11:15:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.18-Sanguinetti.pdf,AU
49,2021-05-15 00:00:00,2021,Unprovoked,USA,Hawaii,"Kanaha Beach Park, Maui",Other,M,35,N,16:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.15-Hawaii.pdf,US
50,2021-05-06 00:00:00,2021,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Wading,F,21,N,11:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.05-Daytona.pdf,US
51,2021-05-03 00:00:00,2021,Unprovoked,USA,Hawaii,"Marine Corps Base, Oahu",Surfing and Other Board Sports,M,14,N,16:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.01-Hawaii.pdf,US
52,2021-05-01 00:00:00,2021,Unprovoked,JAMAICA,Westmoreland Parish,"Little Bay, Little London",Fishing,M,53,Y,08:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.05.01-Haywood.pdf,JM
53,2021-04-30 00:00:00,2021,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing and Other Board Sports,F,64,N,09:00:00,"http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.30-Wisko, pdf",US
54,2021-04-29 00:00:00,2021,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing and Other Board Sports,M,54,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.29-Disney.pdf,US
55,2021-04-24 00:00:00,2021,Unprovoked,FRENCH POLYNESIA,Tahiti,Tautira,Kayaking or Canoeing,M,25,N,08:15:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.24.b-Reuben.pdf,PF
56,2021-04-24 00:00:00,2021,Unprovoked,NEW CALEDONIA,,Nouville,Surfing and Other Board Sports,M,53,Y,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.24.a-Vivier.pdf,NC
57,2021-04-20 00:00:00,2021,Unprovoked,USA,Hawaii,Kukio Bay,Swimming,F,57,N,08:56:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.20-Hawaii.pdf,US
58,2021-04-19 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Karratha,Other,M,0,N,15:40:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.19-Karratha.pdf,AU
59,2021-04-17 00:00:00,2021,Provoked,USA,North Carolina,Outer Banks,Other,,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.17-Mako-Boat.pdf,US
60,2021-04-14 00:00:00,2021,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mdloti,Fishing,M,38,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.14-Norman.pdf,ZA
61,2021-04-13 00:00:00,2021,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa,Surfing and Other Board Sports,M,38,Y,11:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.13-Frauenstein.pdf,ZA
62,2021-04-03 00:00:00,2021,Unprovoked,USA,Florida,"Key Biscayne, Miami-Dade County",Swimming,M,36,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.04.02-KeyBiscayne.pdf,US
63,2021-03-30 00:00:00,2021,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Other,M,0,N,13:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.30-Disney.pdf,US
64,2021-03-27 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Near Coral Bay,Fishing,M,27,N,12:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.27-Howson.pdf,AU
65,2021-03-26 00:00:00,2021,Unprovoked,FRENCH POLYNESIA,Marquesas,Ua Pou,Swimming,M,10,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.26-Marquesas.pdf,PF
66,2021-03-25 00:00:00,2021,Unprovoked,USA,Florida,Indian River County,Other,F,16,N,11:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.25.b-Florida.pdf,US
67,2021-03-25 00:00:00,2021,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,7,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.25.a-Sousa.pdf,US
68,2021-03-21 00:00:00,2021,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Surfing and Other Board Sports,M,9,N,14:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.21-Weiskopf.pdf,US
69,2021-03-20 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Yallingup,Surfing and Other Board Sports,M,75,N,15:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.20-May.pdf,AU
70,2021-03-18 00:00:00,2021,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Wading,M,20,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.18-Albert.pdf,US
71,2021-03-02 00:00:00,2021,Unprovoked,NEW CALEDONIA,Loyalty Islands,Ouvéa,Fishing,M,16,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.03.02-NewCaledonia.pdf,NC
72,2021-02-28 00:00:00,2021,Unprovoked,NEW CALEDONIA,,I'îot Maître,Swimming,M,57,Y,11:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.02.28-NewCaledonia.pdf,NC
73,2021-02-21 00:00:00,2021,Provoked,AUSTRALIA,Queensland,Waterford West,Fishing,M,0,N,17:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.02.20-Rogers.pdf,AU
74,2021-02-06 00:00:00,2021,Unprovoked,USA,Hawaii,"Waiokapua Bay, Kaui",Surfing and Other Board Sports,M,0,N,16:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.02.06-Klein.pdf,US
75,2021-02-02 00:00:00,2021,Watercraft,AUSTRALIA,South Australia,Gleneg,Other,M,17,N,19:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.02.b-French.pdf,AU
76,2021-02-02 00:00:00,2021,Watercraft,USA,Maui,Ukumehama ,Kayaking or Canoeing,M,0,N,14:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.02.02.a-Sullivan.pdf,US
77,2021-01-29 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,"Melaleuca Beach, Cowaramup Bay, Gracetown, ",Swimming,F,46,N,10:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.29-Gracetown.pdf,AU
78,2021-01-27 00:00:00,2021,Unprovoked,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",Swimming,M,61,N,20:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.27-NZ.pdf,NZ
79,2021-01-23 00:00:00,2021,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,Swimming,M,58,N,18:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.23-Burbury.pdf,AU
80,2021-01-22 00:00:00,2021,Watercraft,USA,Florida,Off Tampa Bay,Fishing,,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.22.b-Boat.pdf,US
81,2021-01-22 00:00:00,2021,Unprovoked,USA,Hawaii,Maui,Snorkeling,M,73,N,07:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.22.a-Weisbecker.pdf,US
82,2021-01-21 00:00:00,2021,Unprovoked,AUSTRALIA,South Australia,Port MacDonnell,Snorkeling,M,32,Y,17:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.21-Craw.pdf,AU
83,,2021,Unprovoked,BRAZIL,Pernambuco,Cacimba do Padre Beach,Surfing and Other Board Sports,M,52,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.13.b-Noronha.pdf,BR
84,2021-01-13 00:00:00,2021,Unprovoked,AUSTRALIA,Western Australia,Blackwall Reach,Swimming,M,54,N,07:58:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.13-Wrathall,AU
85,2021-01-11 00:00:00,2021,Unprovoked,AUSTRALIA,Victoria,13th Beach,Swimming,M,7,N,17:40:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.11-Australia.pdf,AU
86,2021-01-09 00:00:00,2021,Unprovoked,ST KITTS / NEVIS,The Narrows,Booby Island,Swimming,F,26,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.09-Toussaint.pdf,
87,2021-01-07 00:00:00,2021,Unprovoked,NEW ZEALAND,North Island,"Waihī  Beach, Bay of Plenty",Swimming,F,19,Y,17:10:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.07-Marlow.pdf,NZ
88,2021-01-03 00:00:00,2021,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing and Other Board Sports,M,19,N,10:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.02-Shrogen.pdf,US
89,2021-01-02 00:00:00,2021,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing and Other Board Sports,M,17,N,10:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.01.02.b-Shrogren.pdf,US
90,2021-01-02 00:00:00,2021,Unprovoked,USA,Hawaii,Anaehoomalu Bay,Other,,0,,,,US
91,2020-12-30 00:00:00,2020,Unprovoked,USA,California,"Coronado, San Diego County",Swimming,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.30-Garn.pdf,US
92,2020-12-23 00:00:00,2020,Unprovoked,MALDIVES,Raa Atoll,Faadoo Island,Fishing,M,40,N,09:36:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.23-Maldives.pdf,MV
93,2020-12-10 00:00:00,2020,Unprovoked,ST MARTIN,,Orient Beach,Swimming,F,39,Y,14:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.10-StMartin.pdf,
94,2020-12-09 00:00:00,2020,Unprovoked,AUSTRALIA,Western Australia,Cable Beach,Surfing and Other Board Sports,M,0,N,07:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.09-Heseltine.pdf,AU
95,2020-12-08 00:00:00,2020,Unprovoked,USA,Hawaii,Honolua Bay,Surfing and Other Board Sports,M,56,Y,07:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.08-Hawaii.pdf,US
96,2020-12-06 00:00:00,2020,Unprovoked,USA,Oregon,"Seaside Cove, Clatsop County",Surfing and Other Board Sports,M,20,N,15:20:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.06-Herrington.pdf,US
97,2020-12-06 00:00:00,2020,Unprovoked,AUSTRALIA,South Australia,D’Estrees Bay near Kangaroo Island,Surfing and Other Board Sports,M,29,N,14:20:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.06-KangarooIsland.pdf,AU
98,2020-12-06 00:00:00,2020,Unprovoked,EGYPT,South Sinai,Marsa Alam,Diving,F,42,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.12.02-Egypt..pdf,EG
99,2020-11-26 00:00:00,2020,Unprovoked,USA,Hawaii,Maui,Snorkeling,F,35,N,14:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.11.26-Hawaii.pdf,US
100,2020-11-23 00:00:00,2020,Unprovoked,NEW CALEDONIA,South Province,St. Vincent Bay,Snorkeling,F,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.11.23-NewCaledonia.pdf,NC
101,2020-11-22 00:00:00,2020,Unprovoked,AUSTRALIA,Western Australia,Cable Beach,Surfing and Other Board Sports,M,59,Y,08:40:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.11.22-Cernobori.pdf,AU
102,2020-11-02 00:00:00,2020,Unprovoked,AUSTRALIA,New South Wales,"Town Beach, Port Macquarie",Surfing and Other Board Sports,M,13,N,06:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.11.02-PortMacquarie.pdf,AU
103,2020-10-31 00:00:00,2020,Unprovoked,USA,Florida,Ormond Beach,Swimming,M,17,N,16:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.31-OrmondBeach.pdf,US
104,2020-10-30 00:00:00,2020,Unprovoked,BAHAMAS, Grand Bahama Island,East End Point,Fishing,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.30-Feaster.pdf,BS
105,2020-10-29 00:00:00,2020,Unprovoked,USA,"Franklin County, Florida",St George Island,Surfing and Other Board Sports,M,0,N,13:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.29-StGeorge.pdf,US
106,2020-10-25 00:00:00,2020,Unprovoked,EGYPT,South Sinai,"Shark Reef, Ras Muhammed",Snorkeling,,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.25-RedSea.pdf,EG
107,2020-10-24 00:00:00,2020,Unprovoked,AUSTRALIA,Queensland,Britomart Reef,Fishing,M,59,N,12:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.24-GBR.pdf,AU
108,2020-10-21 00:00:00,2020,,USA,North Carolina,"Emerald Isle, Carteret County",Surfing and Other Board Sports,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.21-Martynuik.pdf,US
145,2020-07-17 00:00:00,2020,Unprovoked,AUSTRALIA,Tasmania,Off Stanley,Fishing,M,10,N,13:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.07.17-Arnott.pdf,AU
109,2020-10-09 00:00:00,2020,Unprovoked,AUSTRALIA,Western Australia,Kelp Beds Beach (Kelpies),Surfing and Other Board Sports,M,52,Y,10:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.09-Sharpe.pdf,AU
110,2020-10-07 00:00:00,2020,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Surfing and Other Board Sports,M,31,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.07-Bowden.pdf,US
111,2020-10-04 00:00:00,2020,Unprovoked,AUSTRALIA,Western Australia,"Toms Surf break, Hamersley Pool, North Beach, Perth",Surfing and Other Board Sports,M,17,N,10:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.10.04-Marafioti.pdf,AU
112,2020-09-29 00:00:00,2020,Provoked,USA,Florida,Near Key Largo,Other,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.29-Garcia.pdf,US
113,2020-09-21 00:00:00,2020,,USA,Hawaii,"Charley Young Beach, Maui",Swimming,F,61,N,11:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.21-Maui.pdf,US
114,2020-09-20 00:00:00,2020,Unprovoked,USA,Florida,"Sombero Key Light, Monroe County",Snorkeling,M,30,N,10:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.20-Eddy.pdf,US
115,2020-09-17 00:00:00,2020,Provoked,AUSTRALIA,Queensland,Fraser Island,Fishing,M,0,N,16:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.17-FraserIsland.pdf,AU
116,2020-09-16 00:00:00,2020,Unprovoked,AUSTRALIA,New South Wales,Cabarita Beach,Surfing and Other Board Sports,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.16.b-Bungate.pdf,AU
117,2020-09-16 00:00:00,2020,,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,48,N,15:20:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.16-Bowman.pdf,US
118,2020-09-15 00:00:00,2020,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing and Other Board Sports,M,15,N,10:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.15.b-Smyth.pdf,US
119,2020-09-15 00:00:00,2020,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing and Other Board Sports,M,25,N,08:15:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.15.a-MelbourneBeach.pdf,US
120,2020-09-08 00:00:00,2020,,USA,Florida,Canaveral National Seashore,Fishing,M,54,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.08-Canaveral.pdf,US
121,2020-09-07 00:00:00,2020,Unprovoked,AUSTRALIA,Queensland,"Greenmount Beach, Coolangatta",Surfing and Other Board Sports,M,46,Y,17:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.07-Slater.pdf,AU
122,2020-09-06 00:00:00,2020,Unprovoked,USA,Hawaii,Puako,Snorkeling,F,70,N,16:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.06-Puako.pdf,US
123,2020-09-02 00:00:00,2020,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Other,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.09.02.R-JensenBeach.pdf,US
124,2020-08-30 00:00:00,2020,Watercraft,AUSTRALIA,New South Wales,Forster,Fishing,,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2020.08.30.b-Butler.pdf,AU
